Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL
1,1,,,1.0,,,1333.8028571428572,,,0.0,,
2,1,1.0,,,,,110.76857142857143,13326.190357142857,,,,
3,1,,1.0,,,,482.65464285714285,,107.25178571428572,,,
4,1,1.0,,,1.0,,1599.8407142857143,76.43714285714285,,,1110.3817857142856,
5,1,1.0,,,,,5353.483928571428,8079.715714285715,,,,
6,1,,,,,1.0,4.297142857142857,,,,,1982.0710714285713
7,1,,,,,,879.6850000000001,,,,,
8,1,,,1.0,,,0.0,,,326.9692857142857,,
9,1,,,1.0,,,510.1664285714286,,,0.0,,
10,1,1.0,,,,,253.45892857142857,116.70928571428571,,,,
11,1,1.0,,,,,709.9025,5.590357142857143,,,,
12,1,,,,,,1075.475,,,,,
13,1,1.0,,,,1.0,353.83964285714285,5.8325000000000005,,,,3458.2957142857144
14,1,1.0,2.0,,1.0,1.0,23.344642857142855,403.65928571428566,13184.9225,,53.13214285714286,17062.324285714287
15,1,,,,,,1.5453571428571429,,,,,
16,1,1.0,2.0,,,,10015.924642857144,31.65857142857143,68246.33499999999,,,
17,1,,,,,,338.77642857142854,,,,,
18,1,,,,1.0,,935.9632142857143,,,,1016.2924999999999,
19,1,1.0,,,,,26118.09857142857,71661.59285714287,,,,
20,1,1.0,,,,,2194.472142857143,18302.0625,,,,
21,1,1.0,,,,,434.7425,173499.86285714287,,,,
22,1,,,,,,2492.1467857142857,,,,,
23,1,2.0,4.0,1.0,,,22.967142857142857,25325.437857142857,868.7035714285714,333.4007142857143,,
24,1,,,,,,227.31107142857144,,,,,
25,1,,,,,,79.38107142857143,,,,,
26,1,,1.0,1.0,,,1868.2342857142855,,61064.28571428572,0.0,,
27,1,,,1.0,,,1649.98,,,0.0,,
28,1,,,,,,14.606785714285715,,,,,
29,1,,,1.0,,,373.3542857142857,,,0.0,,
30,1,1.0,2.0,1.0,1.0,,162.48250000000002,0.32392857142857145,0.0,510.77964285714285,26.38357142857143,
31,1,,,,1.0,1.0,2336.8507142857143,,,,613.6017857142857,679.5007142857143
32,2,,,1.0,,1.0,12295.25857142857,,,0.0,,14708.57142857143
