Client,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
1094,0,1,0,0.0,5.138571428571429,0.0
1484,1,0,1,25.60910714285714,0.0,8.7225
20,0,1,0,0.0,3.8225000000000002,0.0
1193,0,0,0,0.0,0.0,0.0
142,0,0,0,0.0,0.0,0.0
865,0,0,1,0.0,0.0,7.535714285714286
672,0,1,0,0.0,1.9642857142857142,0.0
942,0,1,0,0.0,36.785714285714285,0.0
184,0,1,0,0.0,5.785714285714286,0.0
1513,0,0,1,0.0,0.0,13.315714285714284
849,0,0,1,0.0,0.0,12.868214285714286
1238,0,0,1,0.0,0.0,12.6725
1106,0,0,0,0.0,0.0,0.0
1046,0,0,0,0.0,0.0,0.0
288,0,0,0,0.0,0.0,0.0
461,0,0,0,0.0,0.0,0.0
1302,1,1,0,10.126428571428573,0.42857142857142855,0.0
689,0,0,0,0.0,0.0,0.0
1305,0,0,0,0.0,0.0,0.0
1221,0,0,0,0.0,0.0,0.0
638,0,0,0,0.0,0.0,0.0
548,0,0,0,0.0,0.0,0.0
806,0,0,1,0.0,0.0,12.023928571428572
120,0,0,1,0.0,0.0,7.297857142857143
1340,0,0,0,0.0,0.0,0.0
1224,0,1,0,0.0,0.21428571428571427,0.0
990,0,0,1,0.0,0.0,9.318214285714287
1438,0,0,1,0.0,0.0,13.820714285714287
687,0,0,0,0.0,0.0,0.0
185,1,0,0,1.5453571428571429,0.0,0.0
1434,0,0,0,0.0,0.0,0.0
1495,0,0,1,0.0,0.0,5.920357142857143
278,1,0,0,6.1883928571428575,0.0,0.0
95,0,0,1,0.0,0.0,6.071428571428571
158,0,0,0,0.0,0.0,0.0
1220,1,0,1,4.910714285714286,0.0,4.251428571428572
1312,0,0,0,0.0,0.0,0.0
879,0,0,0,0.0,0.0,0.0
1415,1,1,0,0.49821428571428567,0.32142857142857145,0.0
366,0,0,0,0.0,0.0,0.0
256,0,0,0,0.0,0.0,0.0
328,0,0,0,0.0,0.0,0.0
371,0,0,0,0.0,0.0,0.0
1214,0,1,0,0.0,1.7857142857142858,0.0
1253,0,1,1,0.0,6.0,11.496071428571428
42,1,0,0,15.275714285714287,0.0,0.0
805,0,0,0,0.0,0.0,0.0
874,0,0,0,0.0,0.0,0.0
904,0,0,1,0.0,0.0,8.321428571428571
795,0,0,1,0.0,0.0,10.333571428571428
691,0,0,1,0.0,0.0,4.642857142857143
985,0,0,1,0.0,0.0,3.0503571428571425
1022,0,0,0,0.0,0.0,0.0
1483,0,0,1,0.0,0.0,11.718214285714286
1268,0,0,1,0.0,0.0,20.34357142857143
1401,0,0,0,0.0,0.0,0.0
324,0,0,0,0.0,0.0,0.0
1425,0,1,1,0.0,6.285714285714286,24.25
1318,0,0,0,0.0,0.0,0.0
1350,0,0,1,0.0,0.0,8.952142857142857
1180,0,0,0,0.0,0.0,0.0
704,0,1,0,0.0,7.1075,0.0
903,1,0,0,4.637857142857143,0.0,0.0
1245,0,0,0,0.0,0.0,0.0
503,0,0,1,0.0,0.0,2.107142857142857
1261,0,0,1,0.0,0.0,6.163571428571429
1118,0,0,0,0.0,0.0,0.0
80,0,0,0,0.0,0.0,0.0
568,0,1,0,0.0,5.356071428571428,0.0
22,0,1,1,0.0,1.1071428571428572,30.560357142857146
890,1,1,0,8.936964285714286,4.25,0.0
767,1,0,0,0.6869642857142857,0.0,0.0
837,0,0,0,0.0,0.0,0.0
1258,1,0,0,0.1467857142857143,0.0,0.0
814,0,0,0,0.0,0.0,0.0
1479,0,1,0,0.0,5.142857142857143,0.0
634,0,1,0,0.0,6.857142857142857,0.0
831,1,0,0,2.024642857142857,0.0,0.0
1348,0,1,0,0.0,1.4285714285714286,0.0
700,1,0,0,40.67785714285714,0.0,0.0
605,0,0,0,0.0,0.0,0.0
1378,0,0,0,0.0,0.0,0.0
1400,1,0,0,4.6571428571428575,0.0,0.0
156,0,0,1,0.0,0.0,16.317857142857143
1182,1,0,0,6.997321428571429,0.0,0.0
81,0,0,0,0.0,0.0,0.0
1515,0,0,0,0.0,0.0,0.0
85,0,0,0,0.0,0.0,0.0
